1994,Pulp Fiction (1994)
1779,Fight Club (1999)
1552,Inception (2010)
1430,"Matrix
1339,"Shawshank Redemption
1240,Eternal Sunshine of the Spotless Mind (2004)
1177,Donnie Darko (2001)
1168,Memento (2000)
1100,"Silence of the Lambs
995,Avatar (2009)
991,Forrest Gump (1994)
975,Seven (a.k.a. Se7en) (1995)
969,Blade Runner (1982)
963,"Dark Knight
946,V for Vendetta (2006)
922,"Amelie (Fabuleux destin d'Amélie Poulain
907,Sin City (2005)
899,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
891,"Usual Suspects
880,"Prestige
853,Inglourious Basterds (2009)
848,American Beauty (1999)
810,"Clockwork Orange
809,District 9 (2009)
805,"Pan's Labyrinth (Laberinto del fauno
804,Requiem for a Dream (2000)
775,Star Wars: Episode IV - A New Hope (1977)
737,Star Trek (2009)
727,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
718,Black Swan (2010)
714,Alien (1979)
708,"Lord of the Rings: The Fellowship of the Ring
696,WALL·E (2008)
673,Watchmen (2009)
672,Kill Bill: Vol. 1 (2003)
671,Shutter Island (2010)
666,Moon (2009)
662,"Sixth Sense
639,"Lord of the Rings: The Return of the King
638,Schindler's List (1993)
632,Reservoir Dogs (1992)
629,"Godfather
628,"Shining
625,Dark City (1998)
623,Children of Men (2006)
619,"Truman Show
617,"Avengers
605,Slumdog Millionaire (2008)
604,Terminator 2: Judgment Day (1991)
602,2001: A Space Odyssey (1968)
600,"Departed
599,Lost in Translation (2003)
596,Mulholland Drive (2001)
594,Star Wars: Episode V - The Empire Strikes Back (1980)
585,Up (2009)
585,Gattaca (1997)
584,American History X (1998)
578,Primer (2004)
574,Little Miss Sunshine (2006)
571,Zombieland (2009)
569,Serenity (2005)
562,Brazil (1985)
560,Shaun of the Dead (2004)
558,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
551,Django Unchained (2012)
550,Trainspotting (1996)
543,Goodfellas (1990)
538,Scott Pilgrim vs. the World (2010)
538,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
537,"Dark Knight Rises
533,Snatch (2000)
529,(500) Days of Summer (2009)
525,City of God (Cidade de Deus) (2002)
521,"Princess Bride
519,"Lord of the Rings: The Two Towers
